"Ref_Date","GEO","Geographical_classification","VIOLATIONS","sum_Value_Actual_incidents","sum_Value_Cleared_by_charge","sum_Value_Cleared_otherwise","sum_Value_Percentage_change_in_rate","sum_Value_Rate_per_100_000_population","sum_Value_Rate_adult_charged_per_100_000_population_aged_18_years_and_over","sum_Value_Rate_total_persons_charged_per_100_000_population_aged_12_years_and_over","sum_Value_Rate_youth_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Rate_youth_not_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Total_cleared","sum_Value_Total_adult_charged","sum_Value_Total_persons_charged","sum_Value_Total_youth_charged","sum_Value_Total_youth_not_charged"
"2006","Alberta","48","Incest","1","1","0","-2.9","0.03","0","0","0","0","1","0","0","0","0"
"2007","Alberta","48","Incest","3","2","0","192.09","0.09","0.04","0.03","0","0","2","1","1","0","0"
"2008","Alberta","48","Incest","15","8","2","388.64","0.42","0.07","0.13","0.7","0","10","2","4","2","0"
"2009","Alberta","48","Incest","22","18","2","43.34","0.6","0.31","0.38","1.06","0.35","20","9","12","3","1"
"2010","Alberta","48","Incest","28","19","6","25.45","0.75","0.38","0.47","1.42","1.42","25","11","15","4","4"
"2011","Alberta","48","Incest","31","23","4","9.03","0.82","0.68","0.71","1.07","0.71","27","20","23","3","2"
"2012","Alberta","48","Incest","24","21","2","-24.39","0.62","0.53","0.57","1.07","0","23","16","19","3","0"
"2013","Alberta","48","Incest","30","21","3","21.38","0.75","0.35","0.44","1.43","0.72","24","11","15","4","2"
"2014","Alberta","48","Incest","28","22","4","-9.2","0.68","0.47","0.57","1.79","0","26","15","20","5","0"
"2015","Alberta","48","Incest","31","22","7","8.82","0.74","0.46","0.59","2.15","0.36","29","15","21","6","1"
"2016","Alberta","48","Incest","23","15","2","-27.08","0.54","0.15","0.36","2.83","0","17","5","13","8","0"
"2005","Alberta","48","Corrupting morals of a child","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Alberta","48","Corrupting morals of a child","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Alberta","48","Corrupting morals of a child","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Alberta","48","Corrupting morals of a child","1","0","0","0","0.03","0","0","0","0","0","0","0","0","0"
"2009","Alberta","48","Corrupting morals of a child","5","0","0","388.67","0.14","0","0","0","0","0","0","0","0","0"
"2010","Alberta","48","Corrupting morals of a child","8","0","3","57.71","0.21","0","0","0","0","3","0","0","0","0"
"2011","Alberta","48","Corrupting morals of a child","11","2","3","35.41","0.29","0.1","0.15","0.71","0","5","3","5","2","0"
"2012","Alberta","48","Corrupting morals of a child","4","0","1","-64.48","0.1","0","0","0","0","1","0","0","0","0"
"2013","Alberta","48","Corrupting morals of a child","10","0","7","142.75","0.25","0","0","0","0","7","0","0","0","0"
"2014","Alberta","48","Corrupting morals of a child","3","0","1","-70.82","0.07","0","0","0","0","1","0","0","0","0"
"2015","Alberta","48","Corrupting morals of a child","2","1","0","-34.47","0.05","0.03","0.03","0","0","1","1","1","0","0"
"2016","Alberta","48","Corrupting morals of a child","6","4","0","194.84","0.14","0","0","0","0","4","0","0","0","0"
"2005","Alberta","48","Anal intercourse","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Alberta","48","Anal intercourse","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Alberta","48","Anal intercourse","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Alberta","48","Anal intercourse","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Alberta","48","Anal intercourse","3","0","0","0","0.08","0","0","0","0","0","0","0","0","0"
"2010","Alberta","48","Anal intercourse","1","0","2","-67.14","0.03","0","0","0","0.36","2","0","0","0","1"
"2011","Alberta","48","Anal intercourse","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2012","Alberta","48","Anal intercourse","0","0","1","0","0","0","0","0","0.36","1","0","0","0","1"
"2013","Alberta","48","Anal intercourse","2","0","1","0","0.05","0","0","0","0","1","0","0","0","0"
"2014","Alberta","48","Anal intercourse","2","0","1","-2.72","0.05","0","0","0","0","1","0","0","0","0"
"2015","Alberta","48","Anal intercourse","2","2","0","-1.71","0.05","0.03","0.03","0","0","2","1","1","0","0"
"2016","Alberta","48","Anal intercourse","1","1","0","-50.86","0.02","0.03","0.03","0","0","1","1","1","0","0"
"2005","Alberta","48","Bestiality, commit or compel person","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Alberta","48","Bestiality, commit or compel person","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Alberta","48","Bestiality, commit or compel person","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Alberta","48","Bestiality, commit or compel person","2","0","0","0","0.06","0","0","0","0","0","0","0","0","0"
"2009","Alberta","48","Bestiality, commit or compel person","2","1","0","-2.27","0.05","0.03","0.03","0","0","1","1","1","0","0"
"2010","Alberta","48","Bestiality, commit or compel person","2","1","2","-1.43","0.05","0","0","0","0.36","3","0","0","0","1"
"2011","Alberta","48","Bestiality, commit or compel person","4","2","1","96.96","0.11","0.03","0.03","0","0","3","1","1","0","0"
"2012","Alberta","48","Bestiality, commit or compel person","5","3","0","22.08","0.13","0.03","0.06","0.36","0","3","1","2","1","0"
"2013","Alberta","48","Bestiality, commit or compel person","4","1","2","-22.32","0.1","0","0.03","0.36","0.36","3","0","1","1","1"
"2014","Alberta","48","Bestiality, commit or compel person","2","2","0","-51.36","0.05","0.06","0.06","0","0","2","2","2","0","0"
"2015","Alberta","48","Bestiality, commit or compel person","3","2","0","47.44","0.07","0.09","0.08","0","0","2","3","3","0","0"
"2016","Alberta","48","Bestiality, commit or compel person","1","1","0","-67.24","0.02","0.03","0.03","0","0","1","1","1","0","0"
"2001","Alberta","48","Intimidation of a justice system participant or a journalist","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002","Alberta","48","Intimidation of a justice system participant or a journalist","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2003","Alberta","48","Intimidation of a justice system participant or a journalist","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2004","Alberta","48","Intimidation of a justice system participant or a journalist","1","1","0","0","0.03","0.04","0.04","0","0","1","1","1","0","0"
"2005","Alberta","48","Intimidation of a justice system participant or a journalist","4","0","2","290.04","0.12","0","0","0","0","2","0","0","0","0"
"2006","Alberta","48","Intimidation of a justice system participant or a journalist","8","7","0","94.2","0.23","0.23","0.21","0","0","7","6","6","0","0"
"2007","Alberta","48","Intimidation of a justice system participant or a journalist","4","4","0","-51.32","0.11","0.11","0.1","0","0","4","3","3","0","0"
"2008","Alberta","48","Intimidation of a justice system participant or a journalist","11","5","5","168.75","0.31","0.07","0.1","0.35","0","10","2","3","1","0"
"2009","Alberta","48","Intimidation of a justice system participant or a journalist","11","9","1","-2.27","0.3","0.21","0.22","0.35","0","10","6","7","1","0"
"2010","Alberta","48","Intimidation of a justice system participant or a journalist","22","13","6","97.13","0.59","0.41","0.44","0.71","0.36","19","12","14","2","1"
"2011","Alberta","48","Intimidation of a justice system participant or a journalist","31","15","7","38.77","0.82","0.44","0.43","0.36","0","22","13","14","1","0"
"2012","Alberta","48","Intimidation of a justice system participant or a journalist","46","34","8","44.92","1.19","1.02","1.06","1.43","0","42","31","35","4","0"
"2013","Alberta","48","Intimidation of a justice system participant or a journalist","30","22","3","-36.67","0.75","0.96","0.91","0.36","0","25","30","31","1","0"
"2014","Alberta","48","Intimidation of a justice system participant or a journalist","44","37","3","42.68","1.07","0.96","0.89","0","0.36","40","31","31","0","1"
"2015","Alberta","48","Intimidation of a justice system participant or a journalist","43","28","9","-3.94","1.03","0.98","0.9","0","0","37","32","32","0","0"
"2016","Alberta","48","Intimidation of a justice system participant or a journalist","40","33","2","-8.58","0.94","0.72","0.72","0.71","0","35","24","26","2","0"
"1998","Alberta","48","Intimidation of a justice system participant or a journalist","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1999","Alberta","48","Intimidation of a justice system participant or a journalist","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000","Alberta","48","Intimidation of a justice system participant or a journalist","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Alberta","48","Intimidation of a non-justice participant","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Alberta","48","Intimidation of a non-justice participant","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Alberta","48","Intimidation of a non-justice participant","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Alberta","48","Intimidation of a non-justice participant","5","5","0","0","0.14","0.04","0.03","0","0","5","1","1","0","0"
"2009","Alberta","48","Intimidation of a non-justice participant","13","7","4","154.11","0.35","0.21","0.19","0","0.35","11","6","6","0","1"
"2010","Alberta","48","Intimidation of a non-justice participant","18","8","6","36.48","0.48","0.31","0.31","0.36","1.42","14","9","10","1","4"
"2011","Alberta","48","Intimidation of a non-justice participant","41","19","13","124.32","1.08","0.58","0.56","0.36","0.36","32","17","18","1","1"
"2012","Alberta","48","Intimidation of a non-justice participant","44","30","10","4.81","1.13","0.69","0.64","0","0.36","40","21","21","0","1"
"2013","Alberta","48","Intimidation of a non-justice participant","44","29","9","-2.9","1.1","0.48","0.47","0.36","0","38","15","16","1","0"
"2014","Alberta","48","Intimidation of a non-justice participant","33","24","6","-27.04","0.8","0.53","0.49","0","0","30","17","17","0","0"
"2015","Alberta","48","Intimidation of a non-justice participant","46","38","5","37.01","1.1","0.7","0.65","0","0","43","23","23","0","0"
"2016","Alberta","48","Intimidation of a non-justice participant","49","38","5","4.69","1.15","0.87","0.8","0","0","43","29","29","0","0"
"1998","Alberta","48","Explosives causing death or bodily harm","1","1","0","0","0.03","0","0","0","0","1","0","0","0","0"
"1999","Alberta","48","Explosives causing death or bodily harm","6","1","0","489.07","0.2","0","0","0","0","1","0","0","0","0"
"2000","Alberta","48","Explosives causing death or bodily harm","1","1","0","-83.62","0.03","0.04","0.04","0","0","1","1","1","0","0"
"2001","Alberta","48","Explosives causing death or bodily harm","8","3","0","686.11","0.26","0.09","0.12","0.37","0","3","2","3","1","0"
"2002","Alberta","48","Explosives causing death or bodily harm","15","3","2","83.28","0.48","0.04","0.04","0","0.36","5","1","1","0","1"
"2003","Alberta","48","Explosives causing death or bodily harm","5","0","0","-67.24","0.16","0","0","0","0","0","0","0","0","0"
"2004","Alberta","48","Explosives causing death or bodily harm","13","3","0","155.5","0.4","0.12","0.11","0","0.36","3","3","3","0","1"
"2005","Alberta","48","Explosives causing death or bodily harm","3","1","0","-77.5","0.09","0.04","0.07","0.35","0","1","1","2","1","0"
"2006","Alberta","48","Explosives causing death or bodily harm","1","1","0","-67.63","0.03","0.04","0.03","0","0","1","1","1","0","0"
"2007","Alberta","48","Explosives causing death or bodily harm","5","2","2","386.81","0.14","0","0","0","0","4","0","0","0","0"
"2008","Alberta","48","Explosives causing death or bodily harm","9","1","0","75.91","0.25","0.04","0.03","0","0","1","1","1","0","0"
"2009","Alberta","48","Explosives causing death or bodily harm","3","9","0","-67.42","0.08","0.31","0.54","2.82","0","9","9","17","8","0"
"2010","Alberta","48","Explosives causing death or bodily harm","2","1","0","-34.29","0.05","0.03","0.09","0.71","0","1","1","3","2","0"
"2011","Alberta","48","Explosives causing death or bodily harm","3","2","0","47.72","0.08","0.07","0.12","0.71","0.71","2","2","4","2","2"
"2012","Alberta","48","Explosives causing death or bodily harm","1","1","0","-67.44","0.03","0.07","0.06","0","0","1","2","2","0","0"
"2013","Alberta","48","Explosives causing death or bodily harm","4","2","1","288.4","0.1","0.06","0.06","0","0","3","2","2","0","0"
"2014","Alberta","48","Explosives causing death or bodily harm","3","3","0","-27.04","0.07","0.03","0.09","0.72","0","3","1","3","2","0"
"2015","Alberta","48","Explosives causing death or bodily harm","1","0","1","-67.24","0.02","0.03","0.03","0","0","1","1","1","0","0"
"2016","Alberta","48","Explosives causing death or bodily harm","1","0","1","-1.72","0.02","0","0","0","0","1","0","0","0","0"
"1998","Alberta","48","Arson, disregard for human life","10","2","0","0","0.34","0.09","0.08","0","0","2","2","2","0","0"
"1999","Alberta","48","Arson, disregard for human life","12","4","0","17.81","0.41","0.09","0.12","0.38","0","4","2","3","1","0"
"2000","Alberta","48","Arson, disregard for human life","10","10","0","-18.1","0.33","0.31","0.64","3.37","0","10","7","16","9","0"
"2001","Alberta","48","Arson, disregard for human life","9","6","1","-11.56","0.29","0.09","0.27","1.85","0","7","2","7","5","0"
"2002","Alberta","48","Arson, disregard for human life","17","13","0","84.64","0.54","0.3","0.27","0","0","13","7","7","0","0"
"2003","Alberta","48","Arson, disregard for human life","38","22","6","119.67","1.19","0.66","0.85","2.5","0","28","16","23","7","0"
"2004","Alberta","48","Arson, disregard for human life","27","19","0","-30.18","0.83","0.49","0.51","0.71","0","19","12","14","2","0"
"2005","Alberta","48","Arson, disregard for human life","31","16","1","11.96","0.93","0.31","0.32","0.35","0","17","8","9","1","0"
"2006","Alberta","48","Arson, disregard for human life","44","21","6","37.82","1.29","0.57","0.69","1.74","0.35","27","15","20","5","1"
"2007","Alberta","48","Arson, disregard for human life","55","33","1","21.7","1.57","1.11","1.23","2.44","0.35","34","30","37","7","1"
"2008","Alberta","48","Arson, disregard for human life","50","33","5","-11.16","1.39","0.75","0.85","1.75","0.7","38","21","26","5","2"
"2009","Alberta","48","Arson, disregard for human life","50","30","3","-2.27","1.36","0.59","0.6","0.7","0.35","33","17","19","2","1"
"2010","Alberta","48","Arson, disregard for human life","44","36","4","-13.26","1.18","0.72","0.85","2.13","0.36","40","21","27","6","1"
"2011","Alberta","48","Arson, disregard for human life","60","48","3","34.29","1.58","0.98","1.18","3.2","1.07","51","29","38","9","3"
"2012","Alberta","48","Arson, disregard for human life","113","100","3","83.94","2.91","0.93","1.18","3.93","0","103","28","39","11","0"
"2013","Alberta","48","Arson, disregard for human life","97","70","1","-16.65","2.43","0.8","0.88","1.79","0","71","25","30","5","0"
"2014","Alberta","48","Arson, disregard for human life","42","19","2","-57.88","1.02","0.5","0.51","0.72","0","21","16","18","2","0"
"2015","Alberta","48","Arson, disregard for human life","52","43","1","21.7","1.24","0.79","0.93","2.5","0","44","26","33","7","0"
"2016","Alberta","48","Arson, disregard for human life","51","38","1","-3.61","1.2","0.81","0.89","1.77","0","39","27","32","5","0"
"1998","Alberta","48","Voyeurism","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1999","Alberta","48","Voyeurism","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000","Alberta","48","Voyeurism","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2001","Alberta","48","Voyeurism","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002","Alberta","48","Voyeurism","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2003","Alberta","48","Voyeurism","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2004","Alberta","48","Voyeurism","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Alberta","48","Voyeurism","1","0","0","0","0.03","0","0","0","0","0","0","0","0","0"
"2006","Alberta","48","Voyeurism","11","9","0","968.12","0.32","0.3","0.27","0","0","9","8","8","0","0"
"2007","Alberta","48","Voyeurism","26","12","1","130.13","0.74","0.41","0.4","0.35","0","13","11","12","1","0"
"2008","Alberta","48","Voyeurism","35","16","5","31.56","0.97","0.5","0.49","0.35","0.7","21","14","15","1","2"
"2009","Alberta","48","Voyeurism","42","16","7","17.28","1.14","0.56","0.51","0","0.35","23","16","16","0","1"
"2010","Alberta","48","Voyeurism","61","28","7","43.16","1.63","0.65","0.66","0.71","0.36","35","19","21","2","1"
"2011","Alberta","48","Voyeurism","49","23","3","-20.89","1.29","0.64","0.62","0.36","0","26","19","20","1","0"
"2012","Alberta","48","Voyeurism","77","48","12","53.48","1.98","1.16","1.15","1.07","0.36","60","35","38","3","1"
"2013","Alberta","48","Voyeurism","98","45","12","23.58","2.45","1.06","1.03","0.72","0.72","57","33","35","2","2"
"2014","Alberta","48","Voyeurism","102","58","11","1.25","2.48","1.34","1.4","2.15","3.23","69","43","49","6","9"
"2015","Alberta","48","Voyeurism","83","34","12","-20.02","1.99","0.67","0.82","2.5","2.15","46","22","29","7","6"
"2016","Alberta","48","Voyeurism","84","39","7","-0.54","1.98","0.84","0.86","1.06","0.71","46","28","31","3","2"
"2012","Alberta","48","Failure to comply with mandatory safeguards in relation to medical assistance in dying","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Alberta","48","Failure to comply with mandatory safeguards in relation to medical assistance in dying","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Alberta","48","Failure to comply with mandatory safeguards in relation to medical assistance in dying","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Alberta","48","Failure to comply with mandatory safeguards in relation to medical assistance in dying","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Alberta","48","Failure to comply with mandatory safeguards in relation to medical assistance in dying","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Alberta","48","Nonconsensual distribution of intimate images","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Alberta","48","Nonconsensual distribution of intimate images","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Alberta","48","Nonconsensual distribution of intimate images","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Alberta","48","Nonconsensual distribution of intimate images","37","10","7","0","0.89","0.18","0.2","0.36","0","17","6","7","1","0"
"2016","Alberta","48","Nonconsensual distribution of intimate images","96","14","31","154.99","2.26","0.3","0.3","0.35","6.01","45","10","11","1","17"
"2005","Alberta","48","Trap likely to or causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Alberta","48","Trap likely to or causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Alberta","48","Trap likely to or causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Alberta","48","Trap likely to or causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Alberta","48","Trap likely to or causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Alberta","48","Trap likely to or causing bodily harm","0","0","0","0","0","0.07","0.06","0","0","0","2","2","0","0"
"2011","Alberta","48","Trap likely to or causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Alberta","48","Trap likely to or causing bodily harm","1","0","1","0","0.03","0","0","0","0","1","0","0","0","0"
"2013","Alberta","48","Trap likely to or causing bodily harm","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2014","Alberta","48","Trap likely to or causing bodily harm","1","1","0","0","0.02","0.06","0.06","0","0","1","2","2","0","0"
"2015","Alberta","48","Trap likely to or causing bodily harm","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2016","Alberta","48","Trap likely to or causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1998","Alberta","48","Hostage-taking","17","17","0","0","0.59","0.84","0.79","0.38","0","17","18","19","1","0"
"1999","Alberta","48","Hostage-taking","24","23","0","38.6","0.81","0.82","0.77","0.38","0","23","18","19","1","0"
"2000","Alberta","48","Hostage-taking","3","3","0","-87.72","0.1","0.13","0.12","0","0","3","3","3","0","0"
"2001","Alberta","48","Hostage-taking","16","16","0","424.08","0.52","0.74","0.78","1.11","0","16","17","20","3","0"
"2002","Alberta","48","Hostage-taking","24","17","0","46.63","0.77","0.59","0.64","1.08","0","17","14","17","3","0"
"2003","Alberta","48","Hostage-taking","21","20","0","-14.01","0.66","0.87","0.93","1.43","0","20","21","25","4","0"
"2004","Alberta","48","Hostage-taking","17","14","0","-20.45","0.52","0.32","0.4","1.07","0","14","8","11","3","0"
"2005","Alberta","48","Hostage-taking","17","13","0","-2.49","0.51","0.47","0.53","1.06","0","13","12","15","3","0"
"2006","Alberta","48","Hostage-taking","7","6","0","-60.02","0.2","0.19","0.17","0","0","6","5","5","0","0"
"2007","Alberta","48","Hostage-taking","2","1","0","-72.18","0.06","0.07","0.07","0","0","1","2","2","0","0"
"2008","Alberta","48","Hostage-taking","3","3","0","46.59","0.08","0.18","0.16","0","0","3","5","5","0","0"
"2009","Alberta","48","Hostage-taking","1","0","0","-67.42","0.03","0","0","0","0","0","0","0","0","0"
"2010","Alberta","48","Hostage-taking","1","0","0","-1.43","0.03","0","0","0","0","0","0","0","0","0"
"2011","Alberta","48","Hostage-taking","4","2","0","293.92","0.11","0.07","0.06","0","0","2","2","2","0","0"
"2012","Alberta","48","Hostage-taking","5","3","0","22.08","0.13","0.1","0.09","0","0","3","3","3","0","0"
"2013","Alberta","48","Hostage-taking","4","4","0","-22.32","0.1","0.1","0.09","0","0","4","3","3","0","0"
"2014","Alberta","48","Hostage-taking","2","1","1","-51.36","0.05","0","0","0","0","2","0","0","0","0"
"2015","Alberta","48","Hostage-taking","2","1","1","-1.71","0.05","0.03","0.03","0","0","2","1","1","0","0"
"2016","Alberta","48","Hostage-taking","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2005","Alberta","48","Trafficking in persons","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Alberta","48","Trafficking in persons","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Alberta","48","Trafficking in persons","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Alberta","48","Trafficking in persons","2","0","0","0","0.06","0","0","0","0","0","0","0","0","0"
"2009","Alberta","48","Trafficking in persons","10","7","2","388.67","0.27","0.17","0.16","0","0","9","5","5","0","0"
"2010","Alberta","48","Trafficking in persons","4","0","1","-60.57","0.11","0","0","0","0","1","0","0","0","0"
"2011","Alberta","48","Trafficking in persons","2","1","1","-50.76","0.05","0.03","0.03","0","0","2","1","1","0","0"
"2012","Alberta","48","Trafficking in persons","2","1","0","-2.33","0.05","0","0","0","0","1","0","0","0","0"
"2013","Alberta","48","Trafficking in persons","11","8","2","434.06","0.28","0.35","0.35","0.36","0","10","11","12","1","0"
"2014","Alberta","48","Trafficking in persons","7","5","1","-38.09","0.17","0.19","0.17","0","0","6","6","6","0","0"
"2015","Alberta","48","Trafficking in persons","12","10","1","68.5","0.29","0.43","0.42","0.36","0","11","14","15","1","0"
"2016","Alberta","48","Trafficking in persons","27","8","5","121.13","0.63","0.27","0.25","0","0","13","9","9","0","0"
"2012","Alberta","48","Forging or destroying documents related to assistance requests with criminal intent","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Alberta","48","Forging or destroying documents related to assistance requests with criminal intent","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Alberta","48","Forging or destroying documents related to assistance requests with criminal intent","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Alberta","48","Forging or destroying documents related to assistance requests with criminal intent","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Alberta","48","Forging or destroying documents related to assistance requests with criminal intent","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1998","Alberta","48","Other violent violations","66","6","39","0","2.28","0.14","0.13","0","0","45","3","3","0","0"
"1999","Alberta","48","Other violent violations","54","7","30","-19.67","1.83","0.14","0.12","0","0.38","37","3","3","0","1"
"2000","Alberta","48","Other violent violations","37","10","10","-32.66","1.23","0.31","0.28","0","0","20","7","7","0","0"
"2001","Alberta","48","Other violent violations","70","16","8","85.91","2.29","0.39","0.35","0","0","24","9","9","0","0"
"2002","Alberta","48","Other violent violations","65","13","10","-9.23","2.08","0.3","0.27","0","0.36","23","7","7","0","1"
"2003","Alberta","48","Other violent violations","82","16","7","23.97","2.58","0.37","0.45","1.07","0.36","23","9","12","3","1"
"2004","Alberta","48","Other violent violations","76","11","4","-8.92","2.35","0.24","0.29","0.71","0.36","15","6","8","2","1"
"2005","Alberta","48","Other violent violations","61","12","8","-21.74","1.84","0.31","0.28","0","0.7","20","8","8","0","2"
"2006","Alberta","48","Other violent violations","107","36","26","70.33","3.13","1.07","1.13","1.74","2.09","62","28","33","5","6"
"2007","Alberta","48","Other violent violations","82","26","14","-25.39","2.33","1.07","1","0.35","0.35","40","29","30","1","1"
"2008","Alberta","48","Other violent violations","87","42","19","3.69","2.42","1.15","1.14","1.05","1.4","61","32","35","3","4"
"2009","Alberta","48","Other violent violations","110","35","22","23.57","2.99","1.19","1.18","1.06","0.35","57","34","37","3","1"
"2010","Alberta","48","Other violent violations","140","37","40","25.45","3.75","0.86","0.88","1.07","0","77","25","28","3","0"
"2011","Alberta","48","Other violent violations","123","28","45","-13.48","3.25","1.02","0.93","0","0.36","73","30","30","0","1"
"2012","Alberta","48","Other violent violations","114","34","31","-9.48","2.94","1.12","1.09","0.71","0.36","65","34","36","2","1"
"2013","Alberta","48","Other violent violations","161","38","55","37.13","4.03","0.93","1.03","2.15","0.72","93","29","35","6","2"
"2014","Alberta","48","Other violent violations","167","65","42","0.91","4.06","1.65","1.66","1.79","0.36","107","53","58","5","1"
"2015","Alberta","48","Other violent violations","137","58","33","-19.37","3.28","1.68","1.61","0.72","0.36","91","55","57","2","1"
"2016","Alberta","48","Other violent violations","119","71","18","-14.63","2.8","1.87","1.75","0.35","0","89","62","63","1","0"
"1998","Alberta","48","Total property crime violations","183876","30370","17873","0","6341.75","904.04","1140.22","3078.89","2407.7","48243","19337","27360","8023","6274"
"1999","Alberta","48","Total property crime violations","180669","29196","18954","-3.53","6117.62","893.51","1100.79","2819.27","2481.33","48150","19575","27025","7450","6557"
"2000","Alberta","48","Total property crime violations","175103","28006","16951","-4.75","5827.17","857.07","1072.44","2879.05","2934.44","44957","19210","26903","7693","7841"
"2001","Alberta","48","Total property crime violations","179943","27070","16508","0.98","5884.3","851.16","1046.22","2700.03","3151.94","43578","19530","26837","7307","8530"
"2002","Alberta","48","Total property crime violations","190955","28318","17328","3.73","6103.99","876.51","1083.85","2851.2","3304.6","45646","20681","28573","7892","9147"
"2003","Alberta","48","Total property crime violations","211870","29185","19650","9.03","6655.47","921.76","1075.8","2405.47","3604.62","48835","22240","28964","6724","10076"
"2004","Alberta","48","Total property crime violations","215063","28936","19949","-0.25","6638.83","927.86","1031.8","1944.21","3438.3","48885","22891","28355","5464","9663"
"2005","Alberta","48","Total property crime violations","216057","27034","20039","-2.04","6503.43","838.52","937.14","1820.42","2935.23","47073","21308","26473","5165","8328"
"2006","Alberta","48","Total property crime violations","213115","26846","24009","-4.22","6228.95","769.05","862.09","1713.35","3005.24","50855","20202","25121","4919","8628"
"2007","Alberta","48","Total property crime violations","212706","25412","26179","-2.82","6053.05","723.17","832.44","1864.88","2991.62","51591","19605","24956","5351","8584"
"2008","Alberta","48","Total property crime violations","205373","24779","28165","-5.64","5711.54","709.78","805.98","1745.12","3002.96","52944","19766","24744","4978","8566"
"2009","Alberta","48","Total property crime violations","196531","24318","27870","-6.47","5341.83","690.73","778.19","1659.1","2788.9","52188","19742","24450","4708","7914"
"2010","Alberta","48","Total property crime violations","183234","22859","26327","-8.1","4909.05","634.92","708.36","1465.35","2624.64","49186","18431","22558","4127","7392"
"2011","Alberta","48","Total property crime violations","165634","21132","23882","-10.98","4370.07","574.59","636.18","1282.3","2154.59","45014","16949","20555","3606","6059"
"2012","Alberta","48","Total property crime violations","166922","20920","22491","-1.57","4301.28","555.98","609.63","1189.17","2041.68","43411","16825","20156","3331","5719"
"2013","Alberta","48","Total property crime violations","171763","21153","22139","-0.08","4297.71","559.27","601.07","1068.13","1681.61","43292","17470","20456","2986","4701"
"2014","Alberta","48","Total property crime violations","178692","22879","21415","1.21","4349.55","566.71","592.92","895.4","1479.06","44294","18230","20726","2496","4123"
"2015","Alberta","48","Total property crime violations","217481","25366","21400","19.63","5203.32","638.23","654.1","839.74","1473.83","46766","20874","23222","2348","4121"
